小学职业启蒙教育实施的若干思考,"职业是人生存的必需,帮助每一个小学生开展职业探索、寻求适合其发展的职业之路,是世界各国普通教育改革与发展的重点内容之一。基于小学职业启蒙教育实施成因的分析...",2013,万方/知网/维普/道客巴巴(账号登陆免费)/爱学术(全网免费下载),http://xueshu.baidu.com/s?wd=paperuri%3A%286a88f672bcd60f889866daf7e56e6aa2%29&filter=sc_long_sign&sc_ks_para=q%3D%E5%B0%8F%E5%AD%A6%E8%81%8C%E4%B8%9A%E5%90%AF%E8%92%99%E6%95%99%E8%82%B2%E5%AE%9E%E6%96%BD%E7%9A%84%E8%8B%A5%E5%B9%B2%E6%80%9D%E8%80%83&sc_us=2392832827741727510&tn=SE_baiduxueshu_c1gjeupa&ie=utf-8
从英国职业指导计划论及我国儿童职业启蒙教育,"摘　要: 我国的儿童职业教育和职业指导受到的关注甚少,相关研究也屈指可数,具体实施更是无从谈起。职业教育是否应当从娃娃抓起,也是一个各方质疑的问题。因此,有必...",2012,维普/万方/知网/百度文库(账号登陆免费)/豆丁网(账号登陆免费)爱学术(全网免费下载)jinyueya.com,http://xueshu.baidu.com/s?wd=paperuri%3A%28252c0c14710bde73fe79fb08a4a45d75%29&filter=sc_long_sign&sc_ks_para=q%3D%E4%BB%8E%E8%8B%B1%E5%9B%BD%E8%81%8C%E4%B8%9A%E6%8C%87%E5%AF%BC%E8%AE%A1%E5%88%92%E8%AE%BA%E5%8F%8A%E6%88%91%E5%9B%BD%E5%84%BF%E7%AB%A5%E8%81%8C%E4%B8%9A%E5%90%AF%E8%92%99%E6%95%99%E8%82%B2&sc_us=8351754178757212587&tn=SE_baiduxueshu_c1gjeupa&ie=utf-8
区域中小学生职业启蒙教育活动模式的实践研究,"一、活动概况 2009年4月,上海市普陀区教育局在上海市曹杨职业技术学校(以下简称""曹杨职校"")挂牌成立普陀区学生职业启蒙教育活动基地.四年来,基地借助上海市 会展和烹饪两个职业教育开放实训中心资源,先后接待了区域内外近5000名中小学生,开展以职业知识...",2013,万方/知网/维普/爱学术(全网免费下载),http://xueshu.baidu.com/s?wd=paperuri%3A%28b07142a6ae662694541b1cd2485be7db%29&filter=sc_long_sign&sc_ks_para=q%3D%E5%8C%BA%E5%9F%9F%E4%B8%AD%E5%B0%8F%E5%AD%A6%E7%94%9F%E8%81%8C%E4%B8%9A%E5%90%AF%E8%92%99%E6%95%99%E8%82%B2%E6%B4%BB%E5%8A%A8%E6%A8%A1%E5%BC%8F%E7%9A%84%E5%AE%9E%E8%B7%B5%E7%A0%94%E7%A9%B6&sc_us=5205593625579093298&tn=SE_baiduxueshu_c1gjeupa&ie=utf-8
中外职业启蒙教育的理论与实践述评,"职业启蒙教育旨在帮助小学生初步了解、认识社会职业,为日后职业生涯发展奠定底色。近几年来,无论在理论研究领域,还是在实践领域,国内外关于职业启蒙教育的探索都取...",2015,知网/维普/万方/道客巴巴(账号登陆免费)/豆丁网(账号登陆免费)百度文库(账号登陆免费),http://xueshu.baidu.com/s?wd=paperuri%3A%28b8913c51b4267d7ff2fad4e6cff85a8e%29&filter=sc_long_sign&sc_ks_para=q%3D%E4%B8%AD%E5%A4%96%E8%81%8C%E4%B8%9A%E5%90%AF%E8%92%99%E6%95%99%E8%82%B2%E7%9A%84%E7%90%86%E8%AE%BA%E4%B8%8E%E5%AE%9E%E8%B7%B5%E8%BF%B0%E8%AF%84&sc_us=6869341388737887099&tn=SE_baiduxueshu_c1gjeupa&ie=utf-8
美国儿童的职业启蒙教育探究,"摘　要:职业启蒙教育起源于美国,指的是发现并有意识地引导儿童职业倾向的教育活动。美国已经通过法律法规、课程设置、特殊节假日和心理分析等方法在小学、初中和...",2014,万方/知网/维普/道客巴巴(账号登陆免费)/豆丁网(账号登陆免费)爱学术(全网免费下载),http://xueshu.baidu.com/s?wd=paperuri%3A%281a1e9647e914677367ea5ed1d2999d09%29&filter=sc_long_sign&sc_ks_para=q%3D%E7%BE%8E%E5%9B%BD%E5%84%BF%E7%AB%A5%E7%9A%84%E8%81%8C%E4%B8%9A%E5%90%AF%E8%92%99%E6%95%99%E8%82%B2%E6%8E%A2%E7%A9%B6&sc_us=4313457337759188303&tn=SE_baiduxueshu_c1gjeupa&ie=utf-8
区域推进职业启蒙教育,"正为引导中小学生了解社会、了解职业、了解自我,我区充分发挥设在区域内国家级重点职校——曹杨职业技术学校的上海市开放性实训中心的作用,面向全区中小学生开展职...",2012,维普/知网/爱学术(全网免费下载),http://xueshu.baidu.com/s?wd=paperuri%3A%289ec1ac1147abc2c5ea65708308b5e07b%29&filter=sc_long_sign&sc_ks_para=q%3D%E5%8C%BA%E5%9F%9F%E6%8E%A8%E8%BF%9B%E8%81%8C%E4%B8%9A%E5%90%AF%E8%92%99%E6%95%99%E8%82%B2&sc_us=7247043960091461770&tn=SE_baiduxueshu_c1gjeupa&ie=utf-8
小学职业启蒙教育活动课程的设计与开发,"摘　要: 现代教育是“以学生的发展为目标”的教育,它不仅要让学生获取一种知识,还要让学生拥有一种积极的态度、一种不懈的追求。因此,2011年,在上海原卢湾区德育教...",2012,维普/知网/豆丁网(账号登陆免费)/道客巴巴(账号登陆免费)/爱学术(全网免费下载),http://xueshu.baidu.com/s?wd=paperuri%3A%28c7d2ddfb43153efcb0203b3cebf6bbed%29&filter=sc_long_sign&sc_ks_para=q%3D%E5%B0%8F%E5%AD%A6%E8%81%8C%E4%B8%9A%E5%90%AF%E8%92%99%E6%95%99%E8%82%B2%E6%B4%BB%E5%8A%A8%E8%AF%BE%E7%A8%8B%E7%9A%84%E8%AE%BE%E8%AE%A1%E4%B8%8E%E5%BC%80%E5%8F%91&sc_us=11227631813417827006&tn=SE_baiduxueshu_c1gjeupa&ie=utf-8
系所职业启蒙教育——河南大学生职业生涯教育的起点,"我国高等教育自大规模扩招以来,取得了丰硕的成果,现在已经进入了大众化时代.但与此同时也出现了很多问题,其中最突出的就是大学生就业难的问题.河南是 人口大省,虽...",2009,万方/知网/维普/道客巴巴(账号登陆免费)/爱学术(全网免费下载),http://xueshu.baidu.com/s?wd=paperuri%3A%280459ff21b6e415ebf7920af1e9ffd7ef%29&filter=sc_long_sign&sc_ks_para=q%3D%E7%B3%BB%E6%89%80%E8%81%8C%E4%B8%9A%E5%90%AF%E8%92%99%E6%95%99%E8%82%B2%E2%80%94%E2%80%94%E6%B2%B3%E5%8D%97%E5%A4%A7%E5%AD%A6%E7%94%9F%E8%81%8C%E4%B8%9A%E7%94%9F%E6%B6%AF%E6%95%99%E8%82%B2%E7%9A%84%E8%B5%B7%E7%82%B9&sc_us=8228751871941484037&tn=SE_baiduxueshu_c1gjeupa&ie=utf-8
社会职业启蒙教育内容体系探析——以赣州市为例,"我国社会职业启蒙教育水平已经远远落后于国外.这种教育能够有效 地帮助儿童青少年树立职业理想,习得职业技能,为未来顺利就业打好基础.本文从现状出发,结合赣州市本...",2014,万方/维普/知网/道客巴巴(账号登陆免费),http://xueshu.baidu.com/s?wd=paperuri%3A%281253602ab9924dd25a001512099a92df%29&filter=sc_long_sign&sc_ks_para=q%3D%E7%A4%BE%E4%BC%9A%E8%81%8C%E4%B8%9A%E5%90%AF%E8%92%99%E6%95%99%E8%82%B2%E5%86%85%E5%AE%B9%E4%BD%93%E7%B3%BB%E6%8E%A2%E6%9E%90%E2%80%94%E2%80%94%E4%BB%A5%E8%B5%A3%E5%B7%9E%E5%B8%82%E4%B8%BA%E4%BE%8B&sc_us=11338269396732363971&tn=SE_baiduxueshu_c1gjeupa&ie=utf-8
中外职业启蒙教育对比,"据2012年举办的""中美日韩四国高中生毕业去向及职业生涯规划教育比较研究""的调查结果显示,我国高中生职业生涯规划教育与美国、日本、韩国相比还比较落后,甚至存在严...",2013,维普/知网/万方/豆丁网(账号登陆免费)/道客巴巴(账号登陆免费)爱学术(全网免费下载)百度文库(账号登陆免费),http://xueshu.baidu.com/s?wd=paperuri%3A%28828751f24db4ee24c2f331f947d32389%29&filter=sc_long_sign&sc_ks_para=q%3D%E4%B8%AD%E5%A4%96%E8%81%8C%E4%B8%9A%E5%90%AF%E8%92%99%E6%95%99%E8%82%B2%E5%AF%B9%E6%AF%94&sc_us=14222242363038508139&tn=SE_baiduxueshu_c1gjeupa&ie=utf-8
职业启蒙教育应从娃娃抓起,"我国教育的一大“荒唐”现实是,素质教育可以提早到“零岁”进行,而广大青少年却往往没有职业意识,甚至大学生在即将毕业时还没有树立起自己的职业理想。无职业意识...",2015,知网/维普/万方,http://xueshu.baidu.com/s?wd=paperuri%3A%28a2249dcab235848e19dc9c4c6d8e59a8%29&filter=sc_long_sign&sc_ks_para=q%3D%E8%81%8C%E4%B8%9A%E5%90%AF%E8%92%99%E6%95%99%E8%82%B2%E5%BA%94%E4%BB%8E%E5%A8%83%E5%A8%83%E6%8A%93%E8%B5%B7&sc_us=12646314201195360081&tn=SE_baiduxueshu_c1gjeupa&ie=utf-8
中小学生职业启蒙教育实践探究,"职业贯穿人的一生,是连续发展的整体.人每一阶段的成长都在为今后的职业发展做积淀,因而从小就需要进行职业启蒙教育.作为造就人才和提高国民素质的奠基工程,基础教育阶段学生职业认知的发展会成为影响他们一生的重要变量,理应得到重视.但是,在应试教育环...",2016,知网/万方,http://xueshu.baidu.com/s?wd=paperuri%3A%28163b6fc0b3d78f104c3ceb601dba3460%29&filter=sc_long_sign&sc_ks_para=q%3D%E4%B8%AD%E5%B0%8F%E5%AD%A6%E7%94%9F%E8%81%8C%E4%B8%9A%E5%90%AF%E8%92%99%E6%95%99%E8%82%B2%E5%AE%9E%E8%B7%B5%E6%8E%A2%E7%A9%B6&sc_us=18132578111745483958&tn=SE_baiduxueshu_c1gjeupa&ie=utf-8
社会职业启蒙教育活动初探——以上海市“平一”小学为例,"针对社会就业困难日益突出的矛 盾,尝试从社会职业启蒙教育的必要性、教育体系、活动机制、教育启示等方面,开展社会职业启蒙教育的探究。通过动员家长,挖掘社会职业...",2011,知网/维普/万方/道客巴巴(账号登陆免费)/豆丁网(账号登陆免费)爱学术(全网免费下载),http://xueshu.baidu.com/s?wd=paperuri%3A%2812f10faecf6a897852e8dccb071622d4%29&filter=sc_long_sign&sc_ks_para=q%3D%E7%A4%BE%E4%BC%9A%E8%81%8C%E4%B8%9A%E5%90%AF%E8%92%99%E6%95%99%E8%82%B2%E6%B4%BB%E5%8A%A8%E5%88%9D%E6%8E%A2%E2%80%94%E2%80%94%E4%BB%A5%E4%B8%8A%E6%B5%B7%E5%B8%82%E2%80%9C%E5%B9%B3%E4%B8%80%E2%80%9D%E5%B0%8F%E5%AD%A6%E4%B8%BA%E4%BE%8B&sc_us=8247418313856114028&tn=SE_baiduxueshu_c1gjeupa&ie=utf-8
中小学实施职业启蒙教育的迫切性与可行性探析,"摘　要:职业启蒙教育是在中小学实施的,为了帮助学生初步了解、认识社会职业,引导其对未来职业进行思考的教育活动。目前,我国中小学实施职业启蒙教育具备了一定的...",2016,维普/知网/爱学术(全网免费下载),http://xueshu.baidu.com/s?wd=paperuri%3A%28ec6c6ca5fdf401fd3b3ae78f422965fa%29&filter=sc_long_sign&sc_ks_para=q%3D%E4%B8%AD%E5%B0%8F%E5%AD%A6%E5%AE%9E%E6%96%BD%E8%81%8C%E4%B8%9A%E5%90%AF%E8%92%99%E6%95%99%E8%82%B2%E7%9A%84%E8%BF%AB%E5%88%87%E6%80%A7%E4%B8%8E%E5%8F%AF%E8%A1%8C%E6%80%A7%E6%8E%A2%E6%9E%90&sc_us=8587395786291101403&tn=SE_baiduxueshu_c1gjeupa&ie=utf-8
青少年儿童职业启蒙教育:内涵、内容与实施策略,"摘　要:职业启蒙教育是开展职业教育的根基,它是针对青少年儿童实施的有关职业道德、职业态度、职业知识、职业技能等方面的教育活动。作为一种有意识地影响学生对...",2016,知网/维普/爱学术(全网免费下载),http://xueshu.baidu.com/s?wd=paperuri%3A%28d5dddb230242b4be88ab20489490bdbc%29&filter=sc_long_sign&sc_ks_para=q%3D%E9%9D%92%E5%B0%91%E5%B9%B4%E5%84%BF%E7%AB%A5%E8%81%8C%E4%B8%9A%E5%90%AF%E8%92%99%E6%95%99%E8%82%B2%3A%E5%86%85%E6%B6%B5%E3%80%81%E5%86%85%E5%AE%B9%E4%B8%8E%E5%AE%9E%E6%96%BD%E7%AD%96%E7%95%A5&sc_us=10515764054097386137&tn=SE_baiduxueshu_c1gjeupa&ie=utf-8
青少年儿童职业启蒙教育初探,"对青少年儿童职业启蒙的探究要从职业启蒙教育的内涵着手,讨论发展职业启蒙教育的必要性。具体来说,我国发展职业启蒙教育的现实诉求主要包括解决劳动力失衡问题、满...",2015,万方/知网/维普,http://xueshu.baidu.com/s?wd=paperuri%3A%28b5fa1680326be42b645271a6d37356dd%29&filter=sc_long_sign&sc_ks_para=q%3D%E9%9D%92%E5%B0%91%E5%B9%B4%E5%84%BF%E7%AB%A5%E8%81%8C%E4%B8%9A%E5%90%AF%E8%92%99%E6%95%99%E8%82%B2%E5%88%9D%E6%8E%A2&sc_us=6412732875307031058&tn=SE_baiduxueshu_c1gjeupa&ie=utf-8
师徒制在职业启蒙教育阶段的实践探讨,"摘　要:职业启蒙教育对个人以后的职业选择、职业兴趣培养至关重要。本文根据职业启蒙教育的特点,引入了“师徒制”教育方法,并从幼儿、小学及中学各阶段浅谈了“师...",2017,维普,http://xueshu.baidu.com/s?wd=paperuri%3A%28ce2f015f94cb4557e8ca099591bd923e%29&filter=sc_long_sign&sc_ks_para=q%3D%E5%B8%88%E5%BE%92%E5%88%B6%E5%9C%A8%E8%81%8C%E4%B8%9A%E5%90%AF%E8%92%99%E6%95%99%E8%82%B2%E9%98%B6%E6%AE%B5%E7%9A%84%E5%AE%9E%E8%B7%B5%E6%8E%A2%E8%AE%A8&sc_us=16235707467186795427&tn=SE_baiduxueshu_c1gjeupa&ie=utf-8
小学职业启蒙教育实施的若干思考,"小学是初始学习时期,是重要的启蒙阶段,小学阶段启蒙的内容较多,启蒙的方面较为广泛,主要原因就是小学生对于新事物的接受能力强,启蒙的效果好,本文主要研究的启蒙主...",2016,知网,http://xueshu.baidu.com/s?wd=paperuri%3A%28539c8a108d2acfbac614916d455a83eb%29&filter=sc_long_sign&sc_ks_para=q%3D%E5%B0%8F%E5%AD%A6%E8%81%8C%E4%B8%9A%E5%90%AF%E8%92%99%E6%95%99%E8%82%B2%E5%AE%9E%E6%96%BD%E7%9A%84%E8%8B%A5%E5%B9%B2%E6%80%9D%E8%80%83&sc_us=6653965678919645890&tn=SE_baiduxueshu_c1gjeupa&ie=utf-8
开发家长社会资源 开启职业启蒙教育,"正国家和上海市《中长期教育发 展与改革规划纲要》中,都把学生的职业生涯教育作为重要的教育内容。小学阶段有必要开展职业启蒙教育,让孩子从小走进社会、认识社会,...",2016,知网/维普/道客巴巴(账号登陆免费)/爱学术(全网免费下载),http://xueshu.baidu.com/s?wd=paperuri%3A%281e9e39dfbb5e9d03790ee8cd18e03501%29&filter=sc_long_sign&sc_ks_para=q%3D%E5%BC%80%E5%8F%91%E5%AE%B6%E9%95%BF%E7%A4%BE%E4%BC%9A%E8%B5%84%E6%BA%90%20%E5%BC%80%E5%90%AF%E8%81%8C%E4%B8%9A%E5%90%AF%E8%92%99%E6%95%99%E8%82%B2&sc_us=13626314443559694534&tn=SE_baiduxueshu_c1gjeupa&ie=utf-8
职业启蒙教育:为孩子种下一颗人生规划的种子,"摘　要: 在基础教育阶段,引导学生正确认识自己的兴趣,发展特长,培养志向,对学生终身发展有着重要意义。文章从职业启蒙教育入手,通过班级特色课程对此进行了实践探...",2016,维普/万方,http://xueshu.baidu.com/s?wd=paperuri%3A%28c249f36806990e20fe503fd800ee41d5%29&filter=sc_long_sign&sc_ks_para=q%3D%E8%81%8C%E4%B8%9A%E5%90%AF%E8%92%99%E6%95%99%E8%82%B2%3A%E4%B8%BA%E5%AD%A9%E5%AD%90%E7%A7%8D%E4%B8%8B%E4%B8%80%E9%A2%97%E4%BA%BA%E7%94%9F%E8%A7%84%E5%88%92%E7%9A%84%E7%A7%8D%E5%AD%90&sc_us=12282421115843501563&tn=SE_baiduxueshu_c1gjeupa&ie=utf-8
